countryName,alcoloholPerYear,alcoholPerDay,beer%,wine%,spirits%
Tunisia,36.6,79.1,72.2,23.9,3.8
Swaziland,34.4,74.3,24.6,16.1,0
Maldives,33.7,72.8,30.8,37.2,31.9
Afghanistan,33.5,72.4,0,0,0
Namibia,32.4,70.1,60.2,10.4,13.9
South Africa,29.9,64.6,56,18.5,17.8
Algeria,29.1,63,57.3,24.4,18.3
Turkey,28.5,61.7,57.6,8.6,33.8
Iran,28.4,61.4,0,0,0
Lesotho,28.2,61,57.4,3.2,10.5
Georgia,27.9,60.4,18.4,43,38.5
Nauru,27.3,59,22,3.7,74.3
Zimbabwe,27.2,58.8,62.8,1.3,12
Libya,26.4,57,0,0,0
Botswana,26.2,56.6,48.1,23.5,4.4
Uganda,26,56.3,11,0.1,3.1
Pakistan,26,56.2,0,0,0
Laos,25.9,56,50.1,0,49.8
Tanzania,25.8,55.7,12.2,0.4,1.6
Rwanda,25.6,55.4,14.8,0.2,2.7
Nigeria,25.5,55,7.9,0.4,0.6
Lebanon,25,54.1,33.9,15.4,49.2
Jordan,24.6,53.2,19.9,2.6,75.9
Morocco,24.5,52.9,42.9,39.8,17
Kyrgyzstan,24,51.9,11.6,2.2,86.2
Burundi,23.7,51.2,39.3,0.1,0.1
Moldova,22.8,49.2,16.2,56.6,25.2
Vietnam,22.8,49.3,91.5,0.8,7.7
Cameroon,22.6,48.8,43.5,1.4,0.1
Comoros,22.3,48.3,24.6,30.6,44.8
Burkina Faso,22.2,47.9,18,2.7,5
Bahrain,22.1,47.9,19,6.2,45.2
Sudan,22,47.5,0,0,0
Mongolia,21.9,47.2,43.6,1.9,54.5
Seychelles,21.8,47.2,68.9,22.4,6.3
Cambodia,21.7,47,88.1,0.6,11.2
Ivory Coast,21.7,46.9,21.9,5,0.2
Armenia,21.3,46,10.6,7,82.3
Niue,21,45.5,56.3,13.1,30.6
Cook Islands,20.8,45.1,31.7,16.1,52.2
United Arab Emirates,20.5,44.2,10.1,7.7,81.9
Thailand,20.3,43.9,28.3,2.7,68.9
Sao Tome And Principe,20.1,43.5,19.8,80.2,0
Paraguay,20.1,43.5,54.2,17.4,27.3
Russia,20.1,43.5,39,12.8,38.6
Philippines,19.9,43.1,27.3,0.4,72
Saint Lucia,19.8,42.8,35.4,13.2,50
Brazil,19.3,41.7,61.8,3.4,34.3
Bulgaria,19.2,41.5,38.8,17.2,42.9
Kazakhstan,19.2,41.5,30.5,6.5,62.9
Czech Republic,19.1,41.3,53.3,21.3,25.4
Barbados,19,41.1,37.6,10.5,50
Lithuania,18.9,41,43.6,7.3,37.1
Romania,18.8,40.7,55.6,28.1,16.4
Grenada,18.7,40.4,40.9,7,48.3
Liberia,18.7,40.5,9.4,1.8,88.2
Serbia,18.5,39.9,32,42.5,25.4
Sierra Leone,18.3,39.5,4,1.1,0
Dominica,18,39,11.1,0,88.9
Turkmenistan,17.8,38.6,26.8,35.1,38
Portugal,17.8,38.4,26.1,61.5,7.7
Saint Vincent And The Grenadines,17.7,38.2,36.6,3.6,57.2
Slovenia,17.7,38.3,41.4,50.6,8
Zambia,17.7,38.3,36.4,2.7,0.4
Myanmar,17.6,38.1,22.4,9.8,67.7
Latvia,17.2,37.2,42.8,11.1,40
Gabon,17.2,37.2,76.3,9.2,13.4
Saint Kitts And Nevis,17.1,37,47.8,6.5,43.4
Hungary,17.1,37,35.5,32.2,32.3
Poland,17.1,37,56.1,7.8,36.1
Cape Verde,17,36.7,55,45,0
Fiji,16.9,36.5,69.8,1.2,28.9
Germany,16.9,36.5,52.6,28.4,18.9
France,16.7,36.1,18.8,58.8,20.7
Slovakia,16.6,35.8,33.7,20.9,41.9
Guinea-Bissau,16.5,35.6,13.7,31.3,13.7
Panama,16.5,35.7,76.9,3.5,19.4
Haiti,16.5,35.6,2.3,0.3,97.3
Belize,16.3,35.1,69.1,1.9,26.7
Micronesia,16.1,34.9,58.1,8.5,32.8
Guyana,16.1,34.7,48.4,0.2,50.8
Ireland,16,34.6,47,28,18.8
Dominican Republic,16,34.5,52.2,4.4,41.9
South Korea,16,34.6,22.2,1.9,7.1
Estonia,15.9,34.4,32.7,7.4,50.3
Nicaragua,15.9,34.5,39.7,0.8,59.5
Greece,15.9,34.5,31.5,45.5,21.8
Belgium,15.9,34.3,44.4,38.3,14.2
Tajikistan,15.8,34.2,37.9,0.7,60.9
Samoa,15.7,33.9,94.1,5.9,0
Uruguay,15.7,34,35.2,43.7,21.1
Cyprus,15.6,33.8,29.7,28.4,41.9
United Kingdom,15.6,33.7,35,35.7,22.5
Equatorial Guinea,15.5,33.5,83,17,0
Syria,15.5,33.4,11.6,1.1,87.2
Malawi,15.5,33.4,8.8,0.8,11.3
Mexico,15.3,33.1,77.1,2.1,20.4
Belarus,15.2,32.8,22.8,2.2,49
Colombia,15.2,32.9,71.3,1.1,27.2
Andorra,15.1,32.7,34.1,42,23.9
Macedonia,15.1,32.7,35.3,46.6,17.4
Congo,15.1,32.7,84.4,4.7,10.3
Croatia,15,32.4,44.5,39,13
Austria,14.9,32.2,53.5,31.6,14.9
Sri Lanka,14.9,32.2,13.2,0.3,84.9
Venezuela,14.9,32.1,69.2,0.3,29.2
Montenegro,14.8,32.1,10.8,43.1,44.1
Finland,14.8,31.9,48.8,20.6,21.5
Albania,14.6,31.7,34.3,26.5,37.6
Argentina,14.6,31.5,39.9,40.2,9.6
Spain,14.6,31.5,54.2,18,27.8
India,14.6,31.5,7.5,0.1,92.4
New Zealand,14.3,30.9,37.4,33.4,28.9
Egypt,14.3,31,62,4.4,33.1
Antigua And Barbuda,14.2,30.7,33,18.3,45.4
Trinidad And Tobago,14.2,30.8,57.9,3.3,37.1
Switzerland,14.2,30.6,32.1,48.1,18.5
Luxembourg,14.1,30.6,35.4,44.6,20
Gambia,14.1,30.4,8.5,2.1,0
Kenya,14.1,30.4,39.8,1.8,21.4
Japan,14.1,30.4,18.2,5.5,40
Denmark,13.9,30.1,37.4,44.7,17.1
Canada,13.8,29.9,45.1,25.6,25.6
Ukraine,13.8,29.9,42.3,5.4,51.5
Chile,13.7,29.6,36.1,33.1,30.8
United States,13.7,29.6,47,18.1,34.9
Honduras,13.5,29.1,46.6,1.2,52.1
Bosnia And Herzegovina,13.4,29,75.8,8.6,12.4
Australia,13.4,28.9,39.9,37.5,12.9
Angola,13.4,29,70.3,17.6,11.3
Cuba,13.2,28.5,37.3,4.9,57.4
Costa Rica,13,28.1,64.1,7.2,27.9
China,12.9,27.9,29.6,3.1,67.2
Iceland,12.8,27.6,56.5,27.9,15.5
Malta,12.8,27.8,36.4,29.9,28.7
El Salvador,12.8,27.6,47.8,1.3,50.7
Uzbekistan,12.8,27.7,34.4,8.6,56.9
Ethiopia,12.6,27.3,54.6,0.3,8.3
Sweden,12.5,27.1,36.4,47.8,14.1
Iraq,12.4,26.7,71,2.4,25.7
Suriname,12.1,26.2,44.9,3.5,48.8
Tuvalu,12,25.9,0.6,84.7,14.1
Togo,12,26,37,16,18.2
Netherlands,12,26,47.8,35.8,16.4
Italy,12,25.9,25.4,64.8,9.8
Jamaica,11.9,25.8,36.3,4.8,54.2
Peru,11.8,25.6,60.1,8.1,31.8
Benin,11.6,25.1,63.7,9.6,13.1
Mauritius,11.5,25,53.9,15.4,30.8
Mozambique,11.4,24.6,78.7,8.3,12.4
Tonga,10.7,23.1,60.7,11.5,27.9
Bolivia,10.5,22.6,72.8,4.3,21.3
Solomon Islands,10.4,22.6,93.3,2.9,3.3
Ghana,10.2,22.1,28.3,6.6,8
Bahamas,10.1,21.9,39.2,16.6,41.2
North Korea,9.6,20.7,2.7,0,97.3
East Timor,9.5,20.5,67.6,32.4,0
Ecuador,9.5,20.6,79.9,1.5,17.8
Norway,9.4,20.4,43.9,36.7,16.7
Yemen,9.4,20.3,89.5,0,10.5
Madagascar,9.2,20,53.8,8.2,38
Oman,9.1,19.7,39.8,2.8,57
Guatemala,9,19.4,56.1,2.1,41.7
Central African Republic,8.8,19,25.9,0.7,0
Papua New Guinea,8.6,18.5,95.2,2.7,2.1
Vanuatu,7.4,15.9,38.5,25.4,36.1
Nepal,7.4,16.1,31,49,20
Israel,7,15.1,54.4,4.7,39.5
Chad,6.9,14.9,70.2,1,5.3
Eritrea,6.3,13.5,62.1,0.1,0.2
Guinea,5.8,12.5,91.1,8.9,0
Mali,5.7,12.4,15.8,1.2,0
Qatar,4.4,9.4,25.9,10.2,63.4
Mauritania,3.8,8.1,0,0,0
Saudi Arabia,3.8,8.1,0,0,0
Kiribati,3.7,7.9,100,0,0
Azerbaijan,3.7,8.1,61.5,36.9,0
Senegal,3.5,7.6,56.4,34.1,8.5
Indonesia,3.4,7.4,18.5,76.4,4.6
Malaysia,3.1,6.7,60.7,21,17.4
Singapore,2.9,6.3,70,14.6,13.4
Djibouti,2.7,5.8,27.5,16.7,55
Niger,2.5,5.4,45,13.7,41.4
Bhutan,1.9,4.2,46.2,4.2,49.6
Somalia,1.5,3.3,0,0,0
Brunei,1.3,2.8,100,0,0
Kuwait,1,2.1,0,0,0
Bangladesh,0.9,2.1,0,0,0
